Latitude,Longitude,Depth(m)
47.1379300819236,-122.56073856975,26.30
47.1379668594008,-122.560666707355,26.23
47.1380036368524,-122.56060382776,26.15
47.1380342847092,-122.560540948165,26.15
47.1380649325482,-122.56048705137,26.15
47.1380955803694,-122.560424171775,26.06
47.1381323577314,-122.56036129218,26.00
47.1381691350678,-122.560307395384,25.96
47.1382059123787,-122.560244515789,25.94
47.1382304305716,-122.560190618993,25.88
47.1382610782969,-122.560136722197,25.87
47.1382978555437,-122.560073842602,25.87
47.1383346327649,-122.560010963007,25.88
47.1383652804297,-122.559948083412,25.87
47.1383897985488,-122.559894186617,25.87
47.1384388347527,-122.559804358624,26.32
47.1384694823571,-122.559741479029,26.15
47.1385062594589,-122.559669616635,25.96
47.138543036535,-122.55960673704,25.85
47.1385920725968,-122.559525891846,25.43
47.1386227201123,-122.559463012251,25.22
47.1386594971074,-122.559400132656,24.86
47.1386901445838,-122.559337253061,24.80
47.138726921532,-122.559274373466,24.71
47.1387636984546,-122.559211493871,24.59
47.1388066048319,-122.559121665878,24.80
47.1388495111744,-122.559058786283,24.78
47.1388924174821,-122.559004889487,25.03
47.1389353237549,-122.558942009892,24.99
47.1389782299929,-122.558879130297,24.93
47.1390150067406,-122.558816250702,24.97
47.1390456540108,-122.558762353907,24.88
47.1390763012632,-122.558699474312,24.86
47.1391130779426,-122.558645577516,24.53
47.1391437251559,-122.55859168072,23.09
47.1391805017884,-122.558528801125,22.18
47.1392111489626,-122.558483887129,21.00
47.1392479255482,-122.558412024734,19.59
47.1392785726833,-122.558367110738,19.08
47.1393092198006,-122.558313213942,18.20
47.1393459963179,-122.558268299946,17.17
47.1393766433961,-122.55821440315,16.17
47.1394072904566,-122.558169489154,15.39
47.1394379374992,-122.558115592358,14.51
47.1394685845241,-122.558061695562,13.67
47.1394992315312,-122.558016781566,12.97
47.1395298785205,-122.557971867569,11.85
47.1395666548843,-122.557917970774,10.29
47.1396034312224,-122.557855091179,9.34
47.1396340781513,-122.557801194383,8.35
47.1396585956816,-122.557738314788,7.34
47.1396769838219,-122.557675435193,6.09
47.1396831132006,-122.557612555598,5.44
47.1396708544425,-122.557540693204,5.12
47.1396463369179,-122.55745984801,5.25
47.1396095606096,-122.557396968415,5.29
47.1395850430565,-122.557343071619,5.29
47.1395543960992,-122.557289174824,5.57
47.1395053609305,-122.557199346831,5.88
47.1394747139269,-122.557145450035,6.16
47.1394379374992,-122.557091553239,6.39
47.1394072904566,-122.557046639243,6.50
47.1393827728096,-122.556983759648,6.66
47.139352125735,-122.556893931655,6.98
47.1393153492219,-122.556840034859,7.25
47.1392847021082,-122.556795120863,7.49
47.1392601844044,-122.556741224067,7.63
47.1392295372586,-122.556687327271,7.84
47.1392050195292,-122.556633430476,8.31
47.1391743723514,-122.55657953368,8.67
